channel_idx,mean_abs_activation
264,0.8012177
649,0.8011614
575,0.80095494
738,0.8007009
416,0.80066323
484,0.8001171
754,0.79994184
1,0.7986315
192,0.79834455
206,0.79814017
31,0.79742545
75,0.7960512
117,0.79540294
391,0.79451007
698,0.7931709
727,0.79181826
653,0.7890234
766,0.7877558
28,0.7875586
284,0.78738064
387,0.7862564
604,0.7861737
418,0.78609025
706,0.78509617
87,0.7840638
563,0.78343767
326,0.7833245
16,0.7832113
251,0.7829298
433,0.7825863
530,0.7821108
444,0.7816777
722,0.7798326
568,0.7795399
476,0.7795117
461,0.77949804
252,0.7793344
237,0.778274
463,0.7773457
257,0.77728957
759,0.7763683
572,0.7761928
99,0.7759716
689,0.7759537
148,0.77371955
458,0.7723257
573,0.7721703
21,0.76982725
170,0.76930976
104,0.7686435
240,0.7676952
571,0.7661428
281,0.7651449
278,0.7649163
612,0.76461244
212,0.7642722
7,0.76407176
536,0.7628075
172,0.76280683
700,0.7624448
86,0.7622976
402,0.76110655
189,0.7601672
276,0.7588626
494,0.75836235
20,0.75823075
442,0.7577891
590,0.7575816
490,0.7572226
275,0.7571182
146,0.75703055
386,0.75583166
650,0.7552935
355,0.7544204
137,0.75327975
540,0.75293493
377,0.7526382
330,0.7524221
570,0.7514611
428,0.7510443
559,0.7503162
11,0.75010043
554,0.74680835
211,0.74652255
619,0.74605656
472,0.74569166
124,0.7456408
631,0.74429363
105,0.7442569
566,0.74390155
61,0.7438292
492,0.74354833
493,0.7430676
553,0.7407188
19,0.7402388
407,0.73904365
143,0.73832816
156,0.7380831
478,0.73699695
2,0.7368872
697,0.7366902
175,0.7366871
109,0.7362148
362,0.73560005
502,0.73480815
91,0.73473006
210,0.73470455
481,0.73332745
647,0.73331463
761,0.7331289
748,0.73298764
245,0.73248273
599,0.7312285
153,0.73012024
180,0.7287361
289,0.7284348
691,0.728106
344,0.7277046
583,0.7272315
549,0.7271981
96,0.7269159
350,0.72648466
733,0.72614884
40,0.7252382
265,0.72497267
62,0.7236146
50,0.7230336
23,0.7228019
131,0.7223112
90,0.72228384
369,0.72191685
389,0.7213638
272,0.7202482
576,0.719692
234,0.7192856
661,0.7192147
95,0.7189506
195,0.71715075
35,0.7171159
81,0.7171056
338,0.7167459
633,0.7155929
197,0.715346
426,0.71416736
291,0.7138074
483,0.71300054
600,0.71005505
427,0.7097448
440,0.70912486
609,0.7090769
436,0.7090204
622,0.7086744
765,0.70801675
678,0.707965
665,0.7074288
591,0.70722455
625,0.70709324
342,0.70595884
361,0.70586985
26,0.7055963
5,0.70553064
47,0.7040604
181,0.70401424
222,0.7039268
580,0.70375854
764,0.7037287
331,0.70294875
171,0.7025631
662,0.7022524
425,0.70200205
728,0.70156205
372,0.70076287
161,0.69994575
97,0.69979024
250,0.69918233
510,0.69829184
632,0.6974011
610,0.69738555
755,0.69718176
64,0.6970556
327,0.69681436
300,0.6965649
375,0.6961572
367,0.69511485
121,0.694995
505,0.6945199
671,0.69446117
45,0.6943969
710,0.6939689
644,0.69390965
504,0.6938306
230,0.69358087
422,0.69331145
693,0.69324064
714,0.69275963
417,0.69255364
190,0.6920396
474,0.6919415
329,0.688873
587,0.6884433
544,0.6875865
282,0.6872071
183,0.68710434
720,0.6867143
328,0.6859299
471,0.68490994
194,0.6846263
178,0.684037
325,0.6836103
459,0.6827009
93,0.68261117
635,0.6823711
527,0.6818865
507,0.6813533
491,0.68111604
358,0.6810945
749,0.68076473
213,0.6803223
305,0.6801967
288,0.67988205
71,0.6797278
297,0.6787735
667,0.6785246
716,0.6782918
274,0.67798775
365,0.6773806
36,0.67587286
116,0.67563814
605,0.67531633
301,0.6752516
747,0.6750118
423,0.6744239
532,0.67432994
138,0.67238456
42,0.67229867
713,0.67144597
22,0.67139727
356,0.67128503
48,0.6705956
556,0.67042863
736,0.66988134
603,0.66922086
364,0.6682377
499,0.6680218
232,0.6678036
395,0.66741705
525,0.6672025
542,0.66717106
394,0.66715974
470,0.66693145
318,0.66621166
464,0.66599756
114,0.66575694
611,0.66562355
627,0.665299
601,0.6649469
306,0.6647414
589,0.6645475
685,0.6644297
719,0.66333866
757,0.66274685
506,0.6626085
621,0.6625351
51,0.6617983
684,0.6612254
403,0.66059005
27,0.6600775
313,0.65991443
225,0.65931547
674,0.65822816
163,0.6581141
596,0.6569891
443,0.65689784
526,0.6563594
723,0.6562622
80,0.656247
742,0.6559884
606,0.65580654
67,0.6557665
55,0.6551949
545,0.65515834
52,0.65479535
304,0.654757
701,0.6542828
520,0.6528813
524,0.65277785
57,0.6521511
6,0.6518035
70,0.65148455
397,0.6507879
168,0.65034187
106,0.6501696
193,0.65012866
354,0.6498853
348,0.6498381
449,0.6486482
648,0.6484737
63,0.64836234
588,0.64833033
762,0.6483278
518,0.64831203
465,0.64765066
4,0.6473742
763,0.64670306
133,0.64667237
503,0.6463034
624,0.6456616
681,0.6456057
666,0.64558566
8,0.64549655
519,0.6453644
73,0.6449601
663,0.6441259
620,0.6439466
751,0.6434441
102,0.64326584
287,0.64320135
657,0.64305985
614,0.64247084
598,0.6423846
188,0.64207625
10,0.6416499
130,0.6415208
203,0.63935286
111,0.6393032
509,0.6392327
24,0.6390103
744,0.6382802
517,0.63816506
652,0.63807595
730,0.63765186
500,0.6375249
462,0.6374585
446,0.63600725
558,0.6342177
712,0.63383436
185,0.6338207
142,0.6334531
92,0.6321134
467,0.6310865
664,0.631072
718,0.6308156
378,0.6307599
219,0.629653
